,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,STATION CODE,LOCATIONS,State
0,166.84645065061395,0.0,0.0,2050.0,2050.0,2050.0,249617887.3984283,125192171.16525713,77111928.87687077,2.5,2.5,2.5,23.0,23.0,23.0,400.0,400.0,400.0,7.0,7.0,7.0,1513.0,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",andhra_pradesh
1,234.27516659541863,31.02760335976268,22.78772162205149,1639.0,1639.0,1639.0,0.0,19257631.186791852,0.0,1.2,1.2,1.2,23.0,23.0,23.0,400.0,400.0,400.0,7.3,7.3,7.3,1514.0,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",andhra_pradesh
2,0.6,0.6,0.6,1569.0,1569.0,1569.0,0.0,178447665.1209825,12048834.635600802,2.8,2.8,2.8,19.0,19.0,19.0,400.0,400.0,400.0,7.4,7.4,7.4,1515.0,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",andhra_pradesh
3,0.0,55.28205034898757,0.0,1119.0,1119.0,1119.0,182888978.38591143,56510506.98429114,25916757.40411458,0.5,0.5,0.5,29.0,29.0,29.0,400.0,400.0,400.0,7.4,7.4,7.4,1516.0,B W OF NAVLOK GARDENS NELLORE AP,andhra_pradesh
4,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,8.0,4.6,3.1,30.6,28.5,27.0,40.0,32.0,20.0,8.1,7.9,7.2,1517.0,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",andhra_pradesh
5,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,14.0,8.4,4.0,35.0,29.6,27.0,50.0,36.0,20.0,8.2,7.9,7.8,1518.0,"B/W. - NANDYAL, KURNOOL DIST., A.P.",andhra_pradesh
6,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,3.1,1.7,0.0,37.0,29.2,27.0,30.0,30.0,30.0,8.1,7.9,7.8,1519.0,"B/W. - NAGIRI, CHITTOOR DIST., A.P",andhra_pradesh
7,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,11.5,4.6,2.1,39.5,31.1,27.0,40.0,34.0,20.0,8.3,7.9,7.6,1520.0,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",andhra_pradesh
8,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,5.4,5.4,5.4,25.0,25.0,25.0,120.0,120.0,120.0,7.7,7.7,7.7,1521.0,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",andhra_pradesh
9,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,1.8,1.4,1.1,29.0,26.0,25.0,150.0,84.0,4.0,7.7,7.4,7.2,1522.0,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",andhra_pradesh
10,1.0,1.0,1.0,347.0,347.0,347.0,3.0,3.0,3.0,0.2,0.2,0.2,27.0,27.0,27.0,14.0,14.0,14.0,7.9,7.9,7.9,1523.0,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",andhra_pradesh
11,1.2,1.2,1.2,1904.0,1904.0,1904.0,4.0,4.0,4.0,1.5,1.5,1.5,26.0,26.0,26.0,4.0,4.0,4.0,7.4,7.4,7.4,1524.0,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",andhra_pradesh
12,6.8,6.8,6.8,3180.0,3180.0,3180.0,10.0,10.0,10.0,8.0,8.0,8.0,32.0,32.0,32.0,86.0,86.0,86.0,7.7,7.7,7.7,1795.0,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST., A.P",andhra_pradesh
13,1.0,1.0,1.0,1462.0,1462.0,1462.0,10.0,10.0,10.0,5.0,5.0,5.0,28.0,28.0,28.0,64.0,64.0,64.0,7.5,7.5,7.5,1810.0,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",andhra_pradesh
14,1.8,1.8,1.8,4010.0,4010.0,4010.0,10.0,10.0,10.0,2.0,2.0,2.0,29.0,29.0,29.0,32.0,32.0,32.0,6.9,6.9,6.9,1811.0,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",andhra_pradesh
15,253.87352803372144,41.23304910318882,0.0,1976.0,1976.0,1976.0,108130002.23472963,24803991.38884613,0.0,5.2,5.2,5.2,23.0,23.0,23.0,400.0,400.0,400.0,7.1,7.1,7.1,3087.0,"BORE WELL NEAR VILLAGE SECRETARIAT, PATHAPADU (V), KRISHNA, A.P.",andhra_pradesh
16,216.40678050058418,66.54445928761261,0.0,1700.0,1700.0,1700.0,0.0,0.0,78161027.63872759,0.7,0.7,0.7,20.0,20.0,20.0,400.0,400.0,400.0,7.2,7.2,7.2,3088.0,"B/W AT J.NARASIMHA RAOS HOUSE, 14NOS. AREA, RAMAVARAM, NEAR MWS DUMPSITE, KOTHAGUDEM, KHAMMAM, A.P.",andhra_pradesh
17,1.2,1.2,1.2,2951.0,2951.0,2951.0,4.0,4.0,4.0,4.7,4.7,4.7,25.0,25.0,25.0,9.0,9.0,9.0,7.7,7.7,7.7,3089.0,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",andhra_pradesh
18,1.0,1.0,1.0,2311.0,2311.0,2311.0,120.0,120.0,120.0,8.6,8.6,8.6,26.0,26.0,26.0,2400.0,2400.0,2400.0,7.2,7.2,7.2,3090.0,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM , A.P.",andhra_pradesh
19,1.0,1.0,1.0,2608.0,2608.0,2608.0,4.0,4.0,4.0,8.8,8.8,8.8,25.0,25.0,25.0,28.0,28.0,28.0,7.8,7.8,7.8,3091.0,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM, A.P.",andhra_pradesh
20,1.0,1.0,1.0,911.0,911.0,911.0,9.0,9.0,9.0,3.5,3.5,3.5,25.0,25.0,25.0,120.0,120.0,120.0,7.6,7.6,7.6,3092.0,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM, A.P.",andhra_pradesh
21,1.0,1.0,1.0,2096.0,2096.0,2096.0,4.0,4.0,4.0,6.3,6.3,6.3,25.0,25.0,25.0,11.0,11.0,11.0,7.9,7.9,7.9,3093.0,"B/W AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM, DISTT SRIKAKULAM, A.P.",andhra_pradesh
22,16.0,16.0,16.0,896.0,896.0,896.0,0.0,75951945.8453032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289485647.6528125,193058014.63016415,57421193.49708429,7.6,7.6,7.6,3094.0,"Bore well at Akbarnagar, Ramagundam ",andhra_pradesh
23,34.0,34.0,34.0,1184.0,1184.0,1184.0,0.0,50309421.70702213,30851672.888199504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952045700.7693448,0.0,7.9,7.9,7.9,1791.0,Borewell at Pydipally near East side of Sai cheruvu ,andhra_pradesh
24,56.0,56.0,56.0,1312.0,1312.0,1312.0,0.0,77442893.88191292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9338586498.409935,0.0,0.0,8.1,8.1,8.1,1792.0,"Borewell at CKM College, Enamamula ",andhra_pradesh
25,21.0,21.0,21.0,1784.0,1784.0,1784.0,0.0,51519879.09177811,34765286.805442296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3558783.7768670367,8.1,8.1,8.1,1793.0,Open well at Kundanpally near ash ponds of NTPC ,andhra_pradesh
26,24.0,24.0,24.0,1099.0,1099.0,1099.0,209556770.23691833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844622610.0783578,90769520.66562389,8.0,8.0,8.0,1794.0,Borewell at Manakondur ,andhra_pradesh
27,12.0,12.0,12.0,1577.0,1577.0,1577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790009418.8613625,0.0,7.6,7.6,7.6,16.0,Open well at Tadavai ,andhra_pradesh
28,120.1147255181062,116.07011759226772,38.654741021265075,1738.0,1738.0,1738.0,0.0,0.0,13302247.31792829,0.95,1.0,0.95,22.0,22.0,22.0,400.0,400.0,400.0,7.3,7.3,7.3,26.0,Borewell at Vijayawada,andhra_pradesh
29,1.0,1.0,1.0,497.0,497.0,497.0,10.0,10.0,10.0,3.0,3.0,3.0,30.0,30.0,30.0,24.0,24.0,24.0,7.9,7.9,7.9,27.0,B/w at Peddavoora ,andhra_pradesh
30,2.0,1.4,0.7,762.0,748.0,734.0,36.0,18.0,0.0,8.6,7.0,5.4,24.0,23.5,23.0,24000.0,12000.0,0.0,6.6,6.5,6.4,1533.0,"*DIGBOI, TINSUKIA DISTT.,  ASSAM",assam
31,1.5,1.1,0.7,470.0,338.0,205.0,150.0,75.0,0.0,1.2,0.7,0.2,24.0,23.5,23.0,11000.0,5500.0,0.0,6.5,6.4,6.2,1534.0,"*KARBI  ANGLONG DISTT., ASSAM",assam
32,1.8,1.4,0.9,364.0,333.0,302.0,0.0,0.0,0.0,0.7,0.5,0.3,25.0,24.5,24.0,91.0,91.0,91.0,7.5,7.0,6.4,1535.0,"*SIBSAGAR , ASSAM",assam
33,2.4,1.9,1.3,885.0,791.0,696.0,0.0,0.0,0.0,0.4,0.3,0.1,25.0,22.5,20.0,91.0,46.0,0.0,5.8,5.7,5.5,1536.0,"*SIBSAGAR, ASSAM",assam
34,3.3,2.2,1.1,579.0,510.0,440.0,72.0,54.0,36.0,3.8,3.1,2.4,25.0,24.5,24.0,4600.0,3350.0,2100.0,7.4,7.0,6.6,1537.0,"*(JORHAT, ASSAM",assam
35,1.0,0.7,0.3,149.0,125.0,100.0,36.0,18.0,0.0,4.8,3.7,2.5,24.0,22.0,20.0,4600.0,2300.0,0.0,5.4,5.1,4.7,1538.0,"*SILCHAR, ASSAM",assam
36,2.9,2.0,1.0,1043.0,599.0,154.0,0.0,0.0,0.0,2.5,1.5,0.5,31.0,27.5,24.0,0.0,0.0,0.0,7.4,6.8,6.2,1539.0,"*BARPETA, ASSAM",assam
37,1.3,1.1,0.9,746.0,446.0,146.0,0.0,0.0,0.0,0.4,0.3,0.1,32.0,27.5,23.0,0.0,0.0,0.0,6.4,5.9,5.3,1540.0,"*BONAIGAON, ASSAM",assam
38,3.8,2.4,1.0,1362.0,1048.0,734.0,240.0,120.0,0.0,12.2,9.8,7.4,24.0,23.0,22.0,24000.0,12115.0,230.0,6.4,6.4,6.3,1541.0,"*GUWAHATI, ASSAM",assam
39,2.4,1.5,0.6,991.0,716.0,440.0,36.0,18.0,0.0,1.1,0.9,0.6,26.0,25.0,24.0,91.0,46.0,0.0,7.3,6.9,6.5,1542.0,"*GUWAHATI, ASSAM",assam
40,0.9,0.8,0.7,745.0,591.0,436.0,0.0,0.0,0.0,9.8,8.3,6.7,23.0,23.0,23.0,0.0,0.0,0.0,5.7,5.7,5.7,2243.0,"GROUND WATER FROM LEDO, MARGHERITA",assam
41,1.4,1.1,0.8,604.0,562.0,520.0,9300.0,4650.0,0.0,3.8,3.6,3.3,25.0,23.0,21.0,9301.0,4669.0,36.0,6.9,6.6,6.3,2244.0,GROUND WATER FROM NAZIRA,assam
42,1.1,1.0,0.9,400.0,248.0,95.0,430.0,230.0,30.0,4.0,2.5,1.0,28.0,26.5,25.0,1500.0,966.0,431.0,5.9,5.7,5.4,2245.0,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),assam
43,0.9,0.8,0.7,617.0,544.0,470.0,0.0,0.0,0.0,0.2,0.1,0.0,22.0,21.0,20.0,0.0,0.0,0.0,6.9,6.6,6.2,2246.0,GROUND WATER FROM SEMENCHAPARI,assam
44,0.7,0.5,0.2,706.0,649.0,591.0,0.0,0.0,0.0,6.3,3.3,0.3,22.0,21.0,20.0,36.0,18.0,0.0,6.2,6.2,6.1,2247.0,GROUND WATER FROM SILAPATHAR,assam
45,3.2,2.2,1.2,823.0,817.0,810.0,0.0,0.0,0.0,9.8,5.6,1.4,26.0,26.0,26.0,360.0,195.0,30.0,7.1,6.6,6.0,2248.0,GROUND WATER FROM LAKHIMPUR TOWN,assam
46,1.1,1.1,1.0,247.0,195.0,142.0,0.0,0.0,0.0,1.7,1.3,0.8,28.0,27.0,26.0,36.0,18.0,0.0,6.4,6.1,5.8,2249.0,GROUND WATER FROM TEZPUR (MISSION CHARIALI),assam
47,0.7,0.6,0.4,578.0,475.0,371.0,0.0,0.0,0.0,2.1,1.6,1.0,29.0,28.5,28.0,0.0,0.0,0.0,6.6,6.6,6.5,2250.0,GROUND WATER FROM NAGAON (PANIGAON),assam
48,4.2,2.4,0.5,1648.0,1322.0,995.0,73.0,37.0,0.0,8.6,7.3,5.9,29.0,27.0,25.0,11000.0,5500.0,0.0,7.2,6.5,5.7,2251.0,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,assam
49,1.3,1.3,1.3,417.0,417.0,417.0,0.0,0.0,0.0,0.1,0.1,0.1,24.0,24.0,24.0,0.0,0.0,0.0,6.4,6.4,6.4,2252.0,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,assam
50,1.1,1.1,1.1,745.0,601.0,456.0,0.0,0.0,0.0,6.5,5.5,4.4,26.0,25.5,25.0,0.0,0.0,0.0,7.1,6.9,6.6,2253.0,GROUND WATER FROM NALBARI,assam
51,0.5,0.3,0.1,1205.0,1038.0,870.0,930.0,465.0,0.0,0.2,0.2,0.2,32.0,28.6,25.1,110000.0,55000.0,0.0,7.0,6.9,6.8,2254.0,GROUND WATER FROM BARPETA ROAD(RLY STATION),assam
52,1.0,0.8,0.6,893.0,747.0,600.0,0.0,0.0,0.0,7.3,6.1,4.9,32.0,29.3,26.5,4600.0,2300.0,0.0,7.4,6.9,6.4,2255.0,"GROUND WATER NEAR BPRL, DHALIGAON",assam
53,0.6,0.6,0.6,893.0,515.0,136.0,91.0,46.0,0.0,4.9,4.0,3.0,32.0,28.5,25.0,930.0,645.0,360.0,6.5,6.5,6.4,2256.0,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),assam
54,1.2,0.9,0.5,1036.0,883.0,729.0,2300.0,1150.0,0.0,0.5,0.3,0.1,34.0,29.1,24.2,2301.0,1196.0,91.0,7.2,7.2,7.2,2257.0,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),assam
55,1.1,0.8,0.4,613.0,539.0,465.0,0.0,0.0,0.0,3.1,3.0,2.8,33.0,30.0,27.0,2300.0,1265.0,230.0,6.6,6.6,6.5,2258.0,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),assam
56,2.8,1.8,0.7,1904.0,1515.0,1126.0,0.0,0.0,0.0,1.9,1.6,1.2,29.0,28.5,28.0,0.0,0.0,0.0,7.5,7.4,7.2,2259.0,GROUND WATER FROM DIPHU (GOVT. COLLEGE),assam
57,3.9,2.2,0.4,668.0,566.0,464.0,0.0,0.0,0.0,0.2,0.2,0.2,20.0,16.0,12.0,150.0,75.0,0.0,7.1,7.1,7.1,2261.0,GROUND WATER FROM HAFLONG,assam
58,0.9,0.9,0.9,330.0,330.0,330.0,0.0,0.0,0.0,4.7,4.7,4.7,12.0,12.0,12.0,430.0,430.0,430.0,6.5,6.5,6.5,2262.0,GROUND WATER FROM KARIMGANJ (COLLEGE),assam
59,0.5,0.5,0.4,417.0,363.0,309.0,0.0,0.0,0.0,1.6,1.1,0.5,20.0,16.5,13.0,0.0,0.0,0.0,6.9,6.6,6.2,2263.0,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),assam
60,4.1,3.6,3.1,1190.0,662.0,134.0,910.0,455.0,0.0,4.0,2.3,0.6,21.0,17.5,14.0,29000.0,14640.0,280.0,6.5,6.5,6.4,2264.0,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,assam
61,175.9954209086776,0.0,0.0,1140.0,1140.0,1140.0,11.0,11.0,11.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,7.1,7.1,7.1,1825.0,PATNA,bihar
62,85.41026469000793,0.0,0.0,609.0,609.0,609.0,7.0,7.0,7.0,0.0,0.0,0.0,25.0,25.0,25.0,17.0,17.0,17.0,7.7,7.7,7.7,1826.0,PATNA,bihar
63,94.8260371657858,174.1156939585848,43.470583955159476,651.0,651.0,651.0,0.0,53428208.909046225,0.0,0.0,0.0,0.0,21.0,21.0,21.0,0.0,340433713.61141217,85109711.91502622,7.5,7.5,7.5,1827.0,PATNA,bihar
64,115.87181042937415,33.251258882702736,10.231069210115685,635.0,635.0,635.0,214020567.30438173,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,6975986088.218734,0.0,0.0,7.4,7.4,7.4,1828.0,PATNA,bihar
65,0.0,0.0,0.0,637.0,637.0,637.0,0.0,50472491.73955401,29903850.385497805,0.0,0.0,0.0,21.0,21.0,21.0,9603646821.51235,586617793.4539132,26952174.56157599,7.5,7.5,7.5,1829.0,PATNA,bihar
66,0.0,115.50946166018616,6.528617831330313,1190.0,1190.0,1190.0,227624676.98284686,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,0.0,460169356.12111694,59933895.57349295,7.1,7.1,7.1,1830.0,MUZAFFARPUR,bihar
67,0.0,37.668802741761546,14.157371511402555,845.0,845.0,845.0,0.0,0.0,23699232.75455997,0.0,0.0,0.0,22.0,22.0,22.0,0.0,607041865.3280884,41209162.55515519,7.3,7.3,7.3,1831.0,MUZAFFARPUR,bihar
68,155.6900160297713,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,24.0,24.0,24.0,14.0,14.0,14.0,7.4,7.4,7.4,1832.0,BEGUSARAI,bihar
69,0.0,37.622171730606624,2.7406294270883422,7757389.822586851,2796383.5932295914,0.0,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,7.0,7.0,7.0,7.5,7.5,7.5,1833.0,BEGUSARAI,bihar
70,0.0,0.0,0.0,0.0,0.0,2570740.845821065,4.0,4.0,4.0,0.0,0.0,0.0,26.0,26.0,26.0,8.0,8.0,8.0,7.4,7.4,7.4,1834.0,PURNEA,bihar
71,48.54369735610033,42.05116132276756,0.0,1450352.425237126,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,24.0,24.0,24.0,12.0,12.0,12.0,7.4,7.4,7.4,1835.0,PURNEA,bihar
72,167.1630161975664,8.866866895928618,38.55334336476357,1715920.8702368303,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,26.0,26.0,26.0,20.0,20.0,20.0,7.4,7.4,7.4,1836.0,BEGUSARAI,bihar
73,100.2605516528059,0.0,96.04101611794367,0.0,199002.36393675764,2152720.6772023747,7.0,7.0,7.0,0.0,0.0,0.0,26.0,26.0,26.0,21.0,21.0,21.0,7.3,7.3,7.3,1837.0,BEGUSARAI,bihar
74,0.0,145.97941582162952,0.0,0.0,8577807.331439806,243173.5245298088,2.0,2.0,2.0,0.0,0.0,0.0,26.0,26.0,26.0,4.0,4.0,4.0,7.3,7.3,7.3,1838.0,MUNGER,bihar
75,0.0,60.89117889903168,126.35708958775959,0.0,2563218.7066009524,0.0,4.0,4.0,4.0,0.0,0.0,0.0,25.0,25.0,25.0,9.0,9.0,9.0,7.4,7.4,7.4,1839.0,MUNGER,bihar
76,0.0,87.32510104708169,0.0,768.0,768.0,768.0,11.0,11.0,11.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,7.5,7.5,7.5,1840.0,MOTIHARI,bihar
77,0.0,0.0,45.8537521639419,516.0,516.0,516.0,0.0,112077963.67066956,0.0,0.0,0.0,0.0,26.0,26.0,26.0,0.0,574437235.950953,0.0,7.7,7.7,7.7,1844.0,"CHAPRA (SPECIFY LOCATION), BIHAR",bihar
78,82.45163335039038,0.0,0.0,546.0,546.0,546.0,8.0,8.0,8.0,0.0,0.0,0.0,25.0,25.0,25.0,13.0,13.0,13.0,7.7,7.7,7.7,2578.0,BHOJPUR,bihar
79,0.0,12.44776752901117,0.0,542.0,542.0,542.0,8.0,8.0,8.0,0.0,0.0,0.0,26.0,26.0,26.0,17.0,17.0,17.0,7.7,7.7,7.7,2579.0,WELL AT BUXAR,bihar
80,44.19580262698835,46.30948657447289,0.0,896.0,896.0,896.0,6.0,6.0,6.0,0.0,0.0,0.0,27.0,27.0,27.0,14.0,14.0,14.0,7.2,7.2,7.2,2581.0,WELL-1 AT DARBHANGA,bihar
81,18.615242038234985,0.0,0.0,886.0,886.0,886.0,6.0,6.0,6.0,0.0,0.0,0.0,22.0,22.0,22.0,17.0,17.0,17.0,7.8,7.8,7.8,2582.0,WELL-2 AT DARBHANGA,bihar
82,114.72689378954614,15.485862531214604,70.16758431493976,610.0,610.0,610.0,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,11.0,11.0,11.0,7.6,7.6,7.6,2583.0,"WELL-1 AT GOPALGANJ (SPECIFY LOCATION), BIHAR",bihar
83,0.0,34.8580914699751,0.0,612.0,612.0,612.0,6.0,6.0,6.0,0.0,0.0,0.0,25.0,25.0,25.0,9.0,9.0,9.0,7.6,7.6,7.6,2584.0,"WELL-2 AT GOPALGANJ (SPECIFY LOCATION), BIHAR",bihar
84,0.0,0.0,0.0,4647958.376758132,0.0,1351074.840975113,7.0,7.0,7.0,0.0,0.0,0.0,26.0,26.0,26.0,21.0,21.0,21.0,7.5,7.5,7.5,2587.0,KHAGARIA,bihar
85,13.673134252384635,0.0,121.44441989170491,2767121.4184629195,0.0,8158914.412573598,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,11.0,11.0,11.0,7.3,7.3,7.3,2589.0,MADHEPURA,bihar
86,0.0,74.27692201550576,0.0,4671377.372484431,1547124.2182948543,0.0,7.0,7.0,7.0,0.0,0.0,0.0,22.0,22.0,22.0,14.0,14.0,14.0,7.4,7.4,7.4,2594.0,SAHARSA,bihar
87,201.1652934596099,0.0,90.44972985266274,1693686.3504208631,0.0,4032837.8208304453,2.0,2.0,2.0,0.0,0.0,0.0,23.0,23.0,23.0,4.0,4.0,4.0,7.3,7.3,7.3,2595.0,SAMASTIPUR,bihar
88,0.0,153.35883310066276,0.0,411.0,411.0,411.0,7.0,7.0,7.0,0.0,0.0,0.0,28.0,28.0,28.0,17.0,17.0,17.0,8.0,8.0,8.0,2596.0,SITAMARHI,bihar
89,121.57368931026141,0.0,4.140633798360888,522.0,522.0,522.0,356166689.2401646,80782207.24263892,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,61229315.83594587,7.7,7.7,7.7,2597.0,"SIWAN (SPECIFY LOCATION), BIHAR",bihar
90,154.6904534037562,2.294238740096923,28.361652811541624,486.0,486.0,486.0,4.0,4.0,4.0,0.0,0.0,0.0,24.0,24.0,24.0,7.0,7.0,7.0,7.5,7.5,7.5,2600.0,VAISHALI,bihar
91,19.538105799389037,109.78310470433104,67.92760913119916,585.0,585.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,153587856.19219106,7.8,7.8,7.8,3138.0,ARRAH (SPECIFY LOCATION),bihar
92,0.0,0.5992294002703948,0.0,630.0,630.0,630.0,2.0,2.0,2.0,0.0,0.0,0.0,25.0,25.0,25.0,4.0,4.0,4.0,7.3,7.3,7.3,3140.0,BETTIAH (SPECIFY LOCATION),bihar
93,0.0,28.963353659360926,0.0,496.0,496.0,496.0,0.0,83691090.62788561,0.0,0.0,0.0,0.0,27.0,27.0,27.0,0.0,51677416.692483075,0.0,7.8,7.8,7.8,3146.0,DUMRAON (SPECIFY LOCATION),bihar
94,0.0,96.75828809624144,24.84854778356876,0.0,0.0,2988046.784612602,7.0,7.0,7.0,0.0,0.0,0.0,24.0,24.0,24.0,16.0,16.0,16.0,7.4,7.4,7.4,3148.0,JAMALPUR (SPECIFY LOCATION),bihar
95,0.0,0.0,178.24541340297304,432.0,432.0,432.0,9.0,9.0,9.0,0.0,0.0,0.0,24.0,24.0,24.0,14.0,14.0,14.0,7.8,7.8,7.8,3150.0,MANER (SPECIFY LOCATION),bihar
96,0.0,0.0,0.0,392.0,392.0,392.0,8.0,8.0,8.0,0.0,0.0,0.0,24.0,24.0,24.0,23.0,23.0,23.0,7.5,7.5,7.5,3152.0,NARKATIAGANJ (SPECIFY LOCATION),bihar
97,0.0,26.222086131290997,2.211065627723625,1810.0,1810.0,1810.0,2.0,2.0,2.0,0.0,0.0,0.0,23.0,23.0,23.0,6.0,6.0,6.0,7.2,7.2,7.2,3156.0,SAMASTIPUR (SPECIFY LOCATION),bihar
98,0.0,58.427784193874196,0.0,576.0,576.0,576.0,7.0,7.0,7.0,0.0,0.0,0.0,26.0,26.0,26.0,14.0,14.0,14.0,7.6,7.6,7.6,3159.0,SHAHPUR (SPECIFY LOCATION),bihar
99,142.35260763656208,34.847127102458785,0.0,806.0,806.0,806.0,18.0,18.0,18.0,0.0,0.0,0.0,27.0,27.0,27.0,17.0,17.0,17.0,7.2,7.2,7.2,3160.0,"RAXAUL (SPECIFY LOCATION), BIHAR",bihar
100,110.78802646006851,0.0,29.662024420928304,6184781.456320348,0.0,1191468.012544225,9.0,9.0,9.0,0.0,0.0,0.0,26.0,26.0,26.0,27.0,27.0,27.0,7.3,7.3,7.3,3161.0,KATIHAR (SPECIFY LOCATION),bihar
101,19.547806524662704,29.236394564693747,43.45302950498725,516.0,516.0,516.0,4.0,4.0,4.0,0.0,0.0,0.0,26.0,26.0,26.0,9.0,9.0,9.0,7.5,7.5,7.5,3162.0,VAISHALI (SPECIFY LOCATION),bihar
